No.	Chinese gloss	English gloss	Proto-Bai	Tuoluo (妥洛)	Gongxing (共兴)	Enqi (恩棋)	Ega (俄嘎)	Jinman (金满)	Jinxing (金星)	Dashi (大石)	Zhoucheng (周城)	Mazhelong (马者龙)	Page number
18	火	fire	xuĩ²	xue³³	xuɛ²²	xui²²	fi²²	fi²²	xui³³	xui³³	xui³³	fi³³	179
19	煙	smoke	fire+sjen¹	xue³³ɕien⁵⁵	xui²²ɕi⁵⁵	xui²²si²⁴	fi²²sɛ⁵⁵	fi²²se⁵⁵	xui³³ɕien⁵⁵	xui³³ɕien³⁵	xui³³ɕe⁵⁵	fi³³ɕen⁵⁵	179
20	氣	air; breath	tɕʰi⁴	tɕʰi⁴²	tɕʰi⁵⁵	tɕʰi⁵⁵			tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁵⁵	tɕʰi⁴⁴	179
22	土地	earth	di³	ʑi²¹	dʑi⁴²	dʑi⁴³	tɕi⁴²	dʑi⁴²	tɕi³¹	tɕi³¹	tɕi³¹	ti²¹	180
23	山	mountain	sro⁴ (general); sren¹(snow mountain)	ɕien⁵⁵	sao⁴²	ɕio⁴³(general); ɕiɛ²⁴(snow mountain)	sɛ⁵⁵	ʂɚ̃⁵⁵	sṽ⁴²	ʂo⁴²	sv⁵³	sen⁵⁵	180
24	山坡	hillside; mountain slope	boŋ²	boŋ³³	bõ²²	bo²²	bo²²	bo²²	pao³¹	pau³³	bo³³	pio⁴⁴	180
30	河	river	qoŋ¹(ᵃ)droŋ¹(ᵇ)	qoŋ⁵⁵	qoŋ⁵⁵	qo²⁴/tio²¹	qu⁵⁵/tɕo²¹	qõ⁵⁵/ʈo²¹	kvŋ⁵⁵	kõ³⁵	kv³⁵	koŋ⁵⁵	180
31	湖	lake	ɢɔ¹	ʁɔ³⁵	qao¹²	qo²¹	(li²¹bɯ²²)	(lu²¹bɯ̃²²)	kou²¹	(xu⁴²)	(pɛ²¹)	(ɕu³³tu³³/pen³³)	180
32	海	sea	ɢɔ¹	ʁɔ³⁵	qao¹²		(li²¹bɯ²²)	(lu²¹bɯ̃²²)	kou²¹	[hai³¹]	ko²¹	[xe²¹]	180
38	路	path; road	tʰju²	tʰv³³	tʰy²²	tʰiu²²	tɕʰiu²²	ʈʰu²²	tʰu³³	tʰu³³	tʰo³³	tʰəɯ³³	180
40	土	soil; earth	tʰu²(ᵃ)nɛ¹ᵇ(ᵇ)	tʰoŋ³³	tʰy²²	nᴇ²¹	nɛ²¹⁵	ne²¹	tʰu³³	(pʰɚ⁵⁵le²¹)	tʰu³³	ne⁴²	180
42	水田	paddy fields	water/paddy+field	ɕyi³³ʑi²¹					tsa²¹tɕi³¹	ɕyi³³tɕi²¹	tɕi³¹	ɕu³³ti³¹	180
43	石頭	stone	dro⁴	diu⁴²	dzu²¹	tiu²¹	tɕiu⁴²	ʈo²¹	tsou⁴²	tʂou⁴²	tsou⁴²	tsʰv⁴²	180
44	沙子	sand	sʰrɔ¹	ɕiɔ⁵⁵	sao⁵⁵	ɕio²⁴	ɕio⁵⁵mi²²	ɕio⁵⁵	sou⁵⁵	ʂhou⁵⁵	so⁵⁵	sa⁵⁵	180
46	泥巴	mud	nɛ¹ᵇ	nɛ³⁵	nɛ²⁴	nᴇ²l	nɛ²¹	ne²¹	ni³¹	ne⁴²	ne²¹	ne⁴²	180
47	水	water	ɕui²	ɕyi³³	ɕy²²	ɕyi²²	ɕyi²²	ɕyi²²	ɕyi³³	ɕiui³³	ɕyi³³	ɕyi³³	180
50	森林	forest	tree+group	diɯ²¹koŋ²¹	dʐi¹²goŋ⁵⁵	diɯ⁴³kɯ⁴³	dʑi⁴²kɯ⁴²	ɖɯ⁴²kɯ̃⁴²	tsɯ³¹sũ⁵⁵	tʂɯ²¹jɚ⁵⁵	tsɯ³¹sua³⁵	ɕen⁵⁵koŋ³³	180
51	金子	gold	tɕen¹	tɕien⁵⁵	tɕien⁵⁵	tɕi²⁴	tɕi⁵⁵	tɕĩ⁵⁵	tɕien⁵⁵	tɕien³⁵	tɕie³⁵	tɕen⁵⁵	180
52	銀子	silver	njen¹ᵇ	jien³⁵	ȵi¹²	ȵi²¹	ȵi²¹	ȵĩ²¹	jen²¹	jien²¹	ȵi²¹	ȵien²¹	180
53	銅	copper, bronze	qæn²[doŋ¹]	qaŋ³³	qan²²	qæ²²	qa²²	qã²²	[tṽ²¹]	[tõ²¹]	kɛ³³	kɚ̃³³	181
54	鐵	iron	tʰe⁴	tɕʰi⁴²	tɕʰi²⁴	tɕʰi⁵⁵	tɕʰi⁵⁵	tɕʰi⁵⁵	tʰe⁴⁴	tʰe⁴⁴	tʰe³³	tʰɛ⁴⁴	181
61	鹽	salt	pren¹	tɕyen⁵⁵	tɕyen⁵⁵	tsuᴇ²⁴	tsuɛ⁵⁵	tsuẽ⁵⁵	pien⁵⁵	piẽ³⁵	pi³⁵		181
66	村子	village	jɯ⁴	ju⁴²	ju²⁴	(ɪ²²)	(ɣo²²ji²²)	(jo²¹ĩ²²)	jɯ⁴⁴	jɯ⁴⁴	jɯ⁴⁴	ji⁴²	181
70	橋	bridge	gu¹	gv³⁵	gu¹²	ku²¹	kv²¹	kv²¹	kuo²¹	ku²¹	ku²¹	kv²¹	181
74	頭	head	djɯ¹	diɯ³⁵	di¹²	tiu²¹	tɕu²²	ʈo²²	tə³¹	ti⁴²	tɯ³¹	ta⁴²	181
75	頭髮	hair	ɕa⁴	[diɯ³⁵me⁵⁵]	[di²⁴miɛ¹²]	[tiu²¹miᴇ²⁴]	[ti²¹mi⁵⁵]	[ʈe²¹me⁵⁵]	ɕɔ⁴⁴	ɕa⁴⁴	[tɯ²¹ma³⁵]	[tɛ²¹mɛ⁵⁵]	181
79	眼睛	eye	ŋuen²	uen³³	uen²²	ŋui²²	ŋui²²	mi²²	uẽ³³	uẽ³³	ue³³	ŋuɛ³³	181
94	乳房	breasts	ba⁴	bo⁴²	ba²¹	pa²¹	pa⁴²	pa⁴²	pɑ⁴²	pa⁴²	pa⁴²	[noŋ³³]	181
96	肚子	belly	pju⁴	fɚ⁴²	(ʐi²¹)	fo²⁴	xu⁴⁴	(ʐɚ⁴²)	fv⁴⁴	fo⁴⁴	fv⁴⁴	pɯ⁴⁴	181
103	腳	foot	ko⁴	ko⁴²	ku²⁴	ku⁵⁵	ku⁴⁴	ko⁵⁵	kou⁴⁴	kou⁴⁴	ko⁴⁴	ko⁴⁴	181
107	手	hand	sʰrɯ²	ɕiɯ³³	ʂi²²	ɕiɯ²²	ɕi²²	ɕi²²	sui³³	ʂʰɯ³³	sɯ³³	səɯ³³	181
109	手指	finger	hand+tsri²	ɕɯ³³tʂɚ³³	ʂi²²tʂi²²	ɕiɯ²²tsɿ²²	ɕi²²tsɛ²²	ɕi²²tʂɚ²²	sɯ³³tsi³³	ʂɯ³³ti³¹	sɯ³³tsi³³	səɯ³³tsi⁴⁴	181
113	指甲	nail	hand+scale	ɕiɯ³³qa⁴²	tʂi²⁴qa²⁴	tiɯ²¹qa²⁴	ɕi²²qa⁴⁴	qa⁴⁴	sɯ³³ka⁴⁴	ʂɯ³³ka⁴⁴	sɯ³³kᴇ⁴⁴	səɯ³³kɚ⁴⁴	181
118	女生殖器	female genitals	pri⁴	tɕyi⁴²	tɕy²⁴	pi⁵⁵	tɕyi⁴⁴	tɕyi⁵⁵	pi⁴⁴	pi⁴⁴		phi⁵⁵	181
120	皮膚	skin	be¹	bi³⁵	bi¹²	pi²¹	tɕyi²¹qa⁵⁵	tɕyi²¹	pe²¹	pe²¹	pe²¹	pe²¹	181
125	疤	scar	tsuŋ¹	tsvŋ⁵⁵	(qæ²⁴)	(tɕia²⁴ma²⁴tæ⁵⁵)	tsoŋ⁵⁵	(ʈʰa⁵⁵koŋ²²pe⁵⁵)	tsṽ⁵⁵			tsʰoŋ⁵⁵pa⁵⁵	181
129	血	blood	sʰua⁴	suɔ⁴²	sua²⁴	sua⁵⁵	sua⁴⁴	sua⁵⁵	suɑ⁴⁴	sʰua⁴⁴	sua⁴⁴	sua⁴⁴	181
130	筋	tendon; sinew	tɕen¹	tɕen⁵⁵	tɕien²²	tɕi²⁴	tɕi⁵⁵	tɕĩ⁵⁵	tɕien⁵⁵	tɕien³⁵	tɕe³⁵	tɕĩ⁵⁵	181
132	腦髓	brains	no²	nv³³	noŋ²²	no²²	nõ²²	nõ²²	nõ³³	nõ³³	[nao³¹kʰv⁵⁵/nao³¹tsi³³]	nɚ̃²²ɕyi²²	182
133	骨頭	bone	qua⁴	ku⁴²	qua²⁴	qua⁵⁵	qua⁴⁴	qua⁵⁵	kuɑ⁴⁴	kua⁴⁴	kua⁴⁴	kua⁴⁴	182
139	舌頭	tongue	drɛ⁴	de⁴²	djɛ²¹	tjᴇ²¹	ti²¹	ʈɚ⁴²	tse⁴²	tʂe⁴²	tse⁴²	tsʰɛ⁴²	182
143	肺	lung	pʰra⁴	tɕʰuo⁴²	tʂʰua²⁴	pʰia⁵⁵	tɕʰya⁴⁴	tɕʰya⁵⁵	pʰio⁴⁴	[fi⁴⁴]	pʰia⁴⁴	pʰio⁴⁴	182
144	心臟	heart	sjen¹	ɕien⁵⁵	ɕin⁵⁵	si²⁴	sɛ⁵⁵	sẽ⁵⁵	ɕien⁵⁵	ɕien⁵⁵	ɕi³⁵	ɕen⁵⁵	182
145	肝	liver	qaŋ¹	qɔŋ⁵⁵	qaŋ⁵⁵	qa²⁴	qo⁵⁵	qã⁵⁵	kɑ̃⁵⁵	kã³⁵	ka³⁵	kaŋ⁵⁵	182
148	胃	stomach	r-wu⁴	ʐɚ⁴²	ʐi²²	zɿ²¹	zɛ²²	ʐɚ⁴²	v⁴²[/uei⁵⁵]	[uei⁵⁵]	v⁴²	ju⁴²	182
149	腸子	intestine; guts	droŋ¹	dv³⁵		tio²¹	tɕiu²¹	ʈõ²¹	tsõ²¹	tʂoŋ²¹	tsou²¹	tsoŋ²¹	182
150	膀胱	bladder	pʰɯ¹	pʰɯ⁵⁵	pʰu⁵⁵	pʰɯ²⁴	pʰɯ⁵⁵	pʰɯ⁵⁵	[kuɑ̃³³]			pʰəɯ⁵⁵	182
151	尿	excrement	sri²	ʂi³³	ʂi²²	sɿ²²	sɛ²²	ʂɚ²²	si³³	si³³	si³³	si³³	182
153	屁	fart	pʰjɛ³	fɚ²¹	pfʰu⁵⁵	fᴇ⁴³	fɛ²²	fe⁴²	fv³¹	fv³¹		[pʰi²¹]	182
154	汗	sweat	ʁaŋ¹ᵇ	ŋɔ³⁵	ʁaŋ¹²	ʁa²¹	ŋa²¹	ã²¹	ŋɑ̃⁴²	ŋa²¹	ŋa²¹	ɣaŋ²¹	182
159	膿	pus	njoŋ¹ᵇ	nen³⁵	nõ¹²	ȵiu²¹	nu²¹	nu²¹	nṽ²¹	jũ²l	nu²¹	nəɯ²¹	182
161	聲音	sound	tʰræn¹	tʰiaŋ⁵⁵	tʰian⁵⁵	tʰiæ²⁴	tɕʰia⁵⁵	ʈã⁵⁵	tsʰan⁵⁵	tʂʰɚ̃⁵⁵	tsʰɛ⁵⁵	tsʰɚ⁵⁵	182
162	屍體	corpse	tsʰoŋ¹	tsʰoŋ⁵⁵	tsʰoŋ⁵⁵	tsʰo²⁴	tsʰo⁵⁵	tsõ⁵⁵				tsʰoŋ⁵⁵	182
165	灘	Han Chinese	haŋ⁵	haŋ²¹	haŋ⁴²	χa⁴³	xa⁴²	xa⁴²	xɑ̃⁴²	xã⁴²			182
167	人	person	ȵjen¹ᵇ	jen³⁵	ȵi¹²	ȵi²¹	ȵi²¹	ȵi²¹	jen²¹	jen²¹	ȵi²¹	ȵien²¹	182
172	老太太	old lady	jɔ⁵	jo²¹	ja⁵⁵	jo⁴³			jou⁴²	jou⁴²			182
173	男人	man	tsi²	(ɕia⁵⁵tjʰo²¹po⁵⁵)	tsi²²	(da⁴³xo²⁴)	tsi²²	tsi²²	tsi³³	tsi³³	tsi⁴⁴	tsi³³	182
174	婦女	woman	njo²	(jen³⁵hoŋ⁵⁵mo³³)			ȵyi²²	ȵu²²	jṽ³³	jũ³³	ȵv³³	ȵõ³³	182
179	士兵	soldier	kroŋ¹	tʂẽ⁵⁵		(ȵæ²⁴tsi²²)	tsɛ⁵⁵	tʂɚ̃⁵⁵	kṽ⁵⁵	kõ³⁵	kv³⁵		182
194	賊	thief	djɛ⁵	de²¹(bo⁴²)	dɛ⁴²	(tsɿ²¹)	ti⁴²	die⁴²	(tsɯ⁴²)	(tsẽ⁴²)	(tsɯ⁴²)	den²¹	183
201	朋友	friend	dʑa⁴	ʐɔ⁴²	dʑia²¹	tɕia²¹	tɕio⁴²	tɕa⁴²	tɕiɑ⁴²	tɕia⁴²	tɕia⁴²	tɕʰa⁴²	183
213	客人	guest	qʰæ⁴	qʰa⁴²	qʰæ²⁴	qʰæ⁵⁵	qʰa⁴⁴	qʰa⁵⁵	kʰa⁴⁴	kʰɚ⁴⁴	kʰɛ⁴⁴	kʰɚ⁴⁴	183
218	父親	father	bo²(ᵇ)	bo³³								po³³	183
219	母親	mother	mɔ²	mo³³	mu²²	mo²²	mo²²	mo²²	mõ³³	moᵘ³³	mo³³	moŋ³³	183
220	兒子	son	tsi²	tsi³³	tsi²²	tsi²²	tsi²²	tsi²²	tsi³³	tsi³³	tsi³³	tsi³³	183
222	女兒	daughter	njo²	jvŋ³³	ȵiõ²²	ȵiu²²	ȵiu²²	ȵiu²²	jṽ³³	jũ³³	ȵiv³³	ȵõ³³	183
224	孫子	grandson	sʰuaŋ¹	suaŋ⁵⁵	suaŋ⁵⁵	ɕyᴇ²⁴	sua⁵⁵	sõ⁵⁵	suɑ̃⁵⁵	sʰuaŋ⁵⁵	sua⁵⁵	suaŋ⁵⁵	183
228	弟弟	younger brother	tʰje²	tʰi³³	tʰi²²	tʰi²²	tʰi²²	tʰie²²	tʰi³³	tʰe³³	tʰe³³	tʰe³³	183
229	妹妹	younger sister	female+brother	jvŋ³³tʰi³³	ȵõ²²tʰi²²	[mi²⁴]	(a⁵⁵ba⁴²)tʰi²²	(a⁵⁵pa⁴²)tʰie²²	jṽ³³tʰi³³	jũ³³tʰe³³	ȵiv³³tʰe³³	ȵoŋ³³tʰɛ³³	183
234	侄子	nephew	di⁴	ʑi⁴²	dʑi²¹	tɕi²¹	tɕy⁵⁵	tɕĩ⁴²	tɕi⁴²	tɕi⁴²	tɕi⁴²	tʰi⁴²	183
235	兄弟	brothers	njoŋ¹+brother	jvŋ⁵⁵tʰi³³	joŋ⁵⁵tʰi²²	ȵio²⁴tʰi²²			jõ⁵⁵tʰi³³			joŋ⁵⁵tʰɛ³³	183
238	舅父	uncle (mother’s brother)	ɢɯ̃²	qɯ³³	qɯ²²	qɯ²²	qɯ²²	gɯ̃²²	[tɕiou⁵⁵tɕou⁵⁵]	[a⁵⁵tɕiou⁵⁵]	[tɕou⁵⁵]	[tɕi⁵⁵]kəɯ³³	183
249	繼母	stepmother	back+mother	ɣɯ³³mo³³	ɣe²¹mu³³	ɣɯ²¹mo²²			ɣə³³mõ³³			ɣə³³moŋ³³	183
254	牛	cattle	ŋɯ¹ᵇ	ŋe³⁵	ŋe¹²	ŋɯ²¹	ŋɯ²¹	ɯ̃²¹	ŋə²¹	ŋə²¹	ŋɯ²¹	ŋəɯ²¹	183
263	角	horn	qɔ⁴	qo⁴²	qao²⁴	qo⁵⁵	qo⁴⁴	qo⁵⁵	kv⁴⁴	ko⁴⁴	kv⁴⁴	koŋ⁴⁴	183
264	蹄	hoof	bã¹	bo³⁵	bao¹²	po²¹	pu²¹	põ²¹	[tʰi⁵⁵tsi³³]	?	pa²¹	[tʰi⁵⁵tsi³³]	183
268	馬	horse	mæ²	ma³³	mæ²²	mæ²²	ma²²	mo²²	man³³	mɚ³³	mɛ³³	mɚ³³	183
271	母馬	mare	horse+mother	ma³³mo³³	mæ²²mu²²	mᴇ²²mo²²		mo²²mo²²	man³³mõ³³	mɚ³³mõ³³			183
272	馬鬃	horse mane	ɕa⁴	ɕiɔ⁴²	ɕia²⁴	ɕia⁵⁵	(mi²¹)	(mie²¹)	ɕɑ⁴⁴		[mɛ³³tsou³⁵]		183
274	羊	sheep (general)	njo¹ᵇ	joŋ³⁵	joŋ¹²	ȵio²¹	ȵiõ²¹	ȵiõ²¹	jõ²¹	joŋ²¹	jou²¹	joŋ²¹	184
284	豬	pig	dɛ⁴	dɛ⁴²	dɛ²¹	tᴇ²¹	tɛ⁴²	te⁴²	te⁴²	te⁴²	te⁴²	tʰɛ⁴²	184
289	狗	dog	qʰuaŋ²	qʰuaŋ³³	qʰuaŋ²²	qʰua²²	qʰua²²	qʰõ²²	kʰuɑ̃ŋ³³	kʰuaŋ³³	kʰua³³	kʰuaŋ³³	184
291	貓	cat	xua¹	hɔ⁴²lɔ³⁵	xua⁵⁵lao²¹	xuæ⁵⁵lo²¹	xua⁵⁵lo²¹	xua⁵⁵lo²¹	̃ɑ̃⁵⁵ni⁵⁵	aŋ³⁵ni⁵⁵	a⁵⁵mi⁵⁵	a⁵⁵ni⁵⁵tsi³³	184
293	雞	chicken	qɛ¹	qɛ⁵⁵	qɛ⁵⁵	qᴇ²⁴	qɛ⁵⁵	qẽ⁵⁵	ki⁵⁵	ke³⁵	ke³⁵	ke⁵⁵	184
304	老虎	tiger	lɔ¹ᵇ	lɔ³⁵	lao¹²	lo²¹	lo²¹	lo²¹	lou²¹	lou²¹	lo²¹	lo²¹	184
306	龍	dragon	loŋ¹ᵇ	loŋ³⁵	lõ¹²	lu²¹	lu²¹	lu²¹	lṽ²¹	lõ²¹	lv²¹	loŋ²¹	184
308	猴子	monkey	suaŋ¹	(ŋe³⁵)sɔŋ⁵⁵	(ʁaŋ¹²)ɕyen⁵⁵	(u²¹)ɕyᴇ²⁴	(ŋõ²¹)sua⁵⁵	(õ²¹)sõ⁵⁵	(ɣou²¹)suɑ̃⁵⁵	(u³³)suã³⁵	(ou⁴²)sua³⁵		184
310	豹子	leopard; panther	baŋ⁴/⁵		pi⁴²	piᴇ⁴³		pie⁴²	pɑ̃⁴²	pã⁴²	pa⁵³	paŋ⁴²	184
314	麂子	muntjac; barking deer	bjo⁴	vɚ⁴²	bvu²¹	(tʰia⁵⁵)vo²¹	w⁴²	uo²¹			v⁴²	v⁴²	184
316	麝香	musk	ji⁵+fragrant	ji²¹ɕioŋ⁵⁵	jen²⁴ɕioŋ⁵⁵	ji²¹ɕio²⁴	ji⁴²ɕio⁵⁵	ji²¹ɕiõ⁵⁵	ji³¹ɕiõ⁵⁵	jɛ²¹ɕiõ³⁵	ji³¹ɕiou³⁵	ji²¹ɕioŋ⁵⁵	184
319	刺蜻	hedgehog	ɢæ¹	ʁɔ³⁵	ɢa¹²	qa²¹		qa²¹			ka²¹	ken²¹	184
320	老鼠	mouse	sro²	ʂv³³	sao²²	ɕu²²	ɕy²²	ɕu²²	sv³³	ʂo³³	sv³³	sou³³	184
326	鳥	bird	tso⁴	tsu⁴²	tsu²⁴	tsu⁵⁵	tsu⁴⁴	tso⁵⁵	tsou⁴⁴	tsou³³	tsou⁴⁴	tso⁴⁴	184
327	鳥窩	bird’s nest	kʰro³	tʂʰɚ²¹	tʂʰi⁴²	(tiɯ²⁴)	tsʰɛ⁴⁴	tɕʰɚ⁴²	kʰv³¹	kʰo³³	kʰv³¹	tɕʰu²¹	184
340	野雞	pheasant	dʑi²	ʑi³³	dʑi²²	dʑi²²		(qo⁴²)tɕyi²²	tɕiɯ³³(ki⁵⁵)	tɕi³³	(je²¹ke³⁵)	(koŋ⁴²ke⁵⁵/tien³³)	184
342	斑鳩	turtledove	tɕɯ¹kɯ¹	tɕɯ⁵⁵kɯ⁵⁵	tɕi²²kɯ¹²	tɕi²⁴kɯ²⁴		tɕi⁵⁵kɯ⁵⁵			(ku³¹ku⁵⁵ku³³)	tɕi⁵⁵kəɯ⁵⁵	184
344	布穀鳥	cuckoo	pu²	(qɔ⁵⁵)pɯ³³	(qe⁵⁵)pu²²	(qa²⁴)pɯ²²	(ko⁵⁵)pɯ²²	(ko⁵⁵)pu²²				(ko⁵⁵ku²²)	184
347	蛇	snake	kʰro²	tʂʰɚ̃³³	tʂʰi²²	tsʰɿ²²	tsʰɛ²²	tɕʰiɚ̃²²	kʰv³³	kʰo³³	kʰv³³	tɕʰiu³³	184
349	青蛙	frog	oŋ¹	oŋ⁵⁵(ma⁵⁵)	õ¹²(mæ¹²)	u²¹(mæ²⁴)	(dʑia⁴²)õ²¹	õ²¹(mo⁵⁵)	õ²¹(man⁵⁵)	u³¹(mɚ⁵⁵)	ou²¹(mɛ³⁵tsi³³)	(lv⁴⁴ɛ³³mɚ⁵⁵tsi³³)	185
351	魚	fish	ŋo¹ᵃ	ŋv⁵⁵	ŋo⁵⁵	ŋo²⁴	ŋu⁵⁵	ŋu⁵⁵	m̥⁵⁵	võ³⁵	ŋo³⁵	oŋ⁵⁵	185
352	鱗	scale	qæ⁴	qa⁴²		qæ⁵⁵	qa⁴⁴	qa⁵⁵	ka⁴⁴	kɚ⁴⁴	kɛ⁴⁴	kɚ⁴⁴	185
353	蟲	worm	dzruŋ¹	ʐv³⁵	dzao¹²	tɕio²¹	tɕiu²¹	tɕiu²¹	tsṽ²¹	tʂo²¹	tsv²¹	dzõ²¹	185
356	蝨子	louse	ɕi⁴	ɕi⁴²	ɕi²⁴	ɕi⁵⁵	ɕi⁴⁴	ɕi⁵⁵	ɕi⁴⁴	ɕi³³	ɕie⁴⁴	ɕi⁴⁴	185
359	蛆	maggot	dzro¹	ʑy³⁵	dzao¹²	tɕio²¹	tɕiu²¹	tɕiu²¹	tsṽ²¹	tʂo²¹	tsv²¹	(zen²¹)	185
360	蚊子	mosquito	mɯ⁴	mɯ⁴²	moŋ²⁴	mɯ⁵⁵	[xɛ⁴²thoŋ⁵⁵]	mo⁵⁵	mə̃⁴⁴	mõ⁴⁴	mɯ⁴⁴	mo⁴⁴	185
364	螞蟥	leech	tsji⁴	tɕi⁴²	tɕi²⁴	tsi⁵⁵	tsi⁴⁴	tsi⁵⁵	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	tɕi⁴⁴	185
365	螞蟻	ant	bri¹bɯ¹	tɕien⁵⁵(ɕaŋ⁵⁵)	dzu¹²bu¹²	tsu⁴³pɯ²¹	tɕi²¹pɯ²¹	tɕi²¹pɯ²¹	pien²¹põ²¹	pi²¹po²¹	pi²¹pɯ²¹	pi⁵⁵pəɯ²¹	185
367	蜜蜂	bee	pʰjuŋ¹	fɚ̃⁵⁵	pfuŋ⁵⁵	fo²⁴	xõ⁵⁵	xõ⁵⁵	fṽ⁵⁵	fṽ⁵⁵	fv⁵⁵	pʰen⁵⁵	185
372	樹	tree	drɯ³	diɯ²¹	dʐi⁴²	diɯ⁴³	dʑi⁴²	ɖɯ⁴²	tsɯ³¹	tʂɯ²¹	tsɯ³¹	dzəɯ²¹	185
375	根	root	tɛ⁴		tɛ²⁴	tᴇ⁵⁵	tɛ⁴²	te⁴²	te⁴⁴	te⁴⁴		(tso³³)	185
375	根	root	mi¹ᵃ	mɛ²¹		mᴇ⁴³	mɛ⁴²	me⁴²		mi⁴⁴	mi⁴⁴		185
376	葉子	leaf	sʰrɛ⁴	ɕi⁴²	sɛ²⁴	ɕᴇ⁵⁵	sɛ⁴⁴	ʂɚ⁵⁵	se⁴⁴	ʂʰe⁴⁴	se⁴⁴	sɛ⁴⁴	185
378	水果	fruit	qʰɔ²	qʰɔ³³		qʰo⁵⁵	(dʑi⁴²iɛ²¹)		kʰou³³	[ɕui³³kuo³³]	(ɕyi³³li⁵⁵ta²¹ko³³)	kʰo³³	185
382	柳樹	willow	ɣɯ²	ɣɯ³³	(ɕi²²ji²¹)	(ja⁴³)ɣɯ²²			ɣə³³	ɣə³³		ɣɯ³³	185
385	松樹	pine	zroŋ¹	ʐvŋ³⁵	zoŋ¹²	ju²¹	ju²¹	v²¹	ɕiõ²¹	jou²¹	jou²¹	zyen²¹	185
387	松香	resin, colophony	mɛ¹ᵃ	mɛ⁵⁵(tʂi⁵⁵)	(zoŋ²¹tʂi²²)	mᴇ²⁴(tsɿ²⁴)	mɛ̃⁵⁵(tsɛ⁴⁴)	me⁵⁵(tʂi⁵⁵)	me⁵⁵(tsi³³tsi³³)	me³⁵(tʂi³⁵)	(jou²¹tsi⁵⁵)	mɛ⁵⁵(tsi³³)	185
388	松明	pine torches	mɛ¹ᵃ	mɛ⁵⁵(tʂi⁵⁵)	men⁵⁵	mᴇ²⁴	(ɕy⁵⁵ɣo²¹)	(u²²ne²¹)	me⁵⁵	me³⁵			185
